Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GarageCars,Overall
1,60,RL,65.0,8450.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7.0,5.0,2003.0,2003,2,6.0
2,20,RL,80.0,9600.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Veenker,1Fam,1Story,6.0,8.0,1976.0,1976,2,7.0
3,60,RL,68.0,11250.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7.0,5.0,2001.0,2002,2,6.0
4,70,RL,60.0,9550.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Crawfor,1Fam,2Story,7.0,5.0,1915.0,1970,3,6.0
5,60,RL,84.0,14260.0,Pave,Grvl,IR1,Lvl,AllPub,FR2,NoRidge,1Fam,2Story,8.0,5.0,1971.0,2000,3,6.5
6,50,RL,85.0,9591.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Mitchel,1Fam,1.5Fin,5.0,5.0,1993.0,1995,2,5.0
7,20,RL,75.0,10084.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,8.0,5.0,2004.0,2005,2,6.5
8,60,RL,70.0,10382.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NWAmes,1Fam,2Story,7.0,6.0,1973.0,1973,2,6.5
9,50,RM,51.0,6120.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,OldTown,1Fam,1.5Fin,6.0,5.0,1931.0,1950,2,5.5
10,190,RL,50.0,7420.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,BrkSide,2fmCon,1Story,5.0,6.0,1939.0,1950,1,5.5
11,20,RL,70.0,11200.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5.0,5.0,1965.0,1965,1,5.0
12,60,RL,85.0,11924.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,9.0,5.0,2005.0,2006,3,7.0
